COUNTRY_ID,State,YEAR,MONTH,ENERGY_ID,ENERGY_NAME,CONSUMPTION,UNIT_PRICE,YEAR_TO_DATE,PREVIOUS_YEAR_TO_DATE,SHARE,PEAK_TIME
61,Bihar,2010,1,2,Hydro,944.2725825,1,12267.4927,0,0.047770729,6
61,Bihar,2010,1,4,Oil,732.302,9,2447.778,0,0.035309995,6
43,Uttar Pradesh,2010,1,1,Coal,693.73,8,6371.891,0,0.117552147,3
43,Uttar Pradesh,2010,1,4,Oil,172.672,9,1210.748,0,0.029259171,3
32,Telangana,2010,1,2,Hydro,147.41,1,1645.999,0,0.017673551,11
32,Telangana,2010,1,1,Coal,568.916,8,5761.981,0,0.068209525,11
32,Telangana,2010,1,4,Oil,39.556,9,392.841,0,0.004742521,11
1,Himachal pradesh,2010,1,4,Oil,771.15,9,7792.508,0,0.012781854,7
56,Nagaland,2010,1,4,Oil,382.032,9,8022.08,0,0.079916141,7
56,Nagaland,2010,1,3,Natural gas,645.119,10,10124.676,0,0.13495053,7
420,Odisha,2010,1,2,Hydro,273.1,1,3366,0,0.035157611,2
420,Odisha,2010,1,4,Oil,20.072,9,176.959,0,0.002583975,2
420,Odisha,2010,1,3,Natural gas,115.037,10,1211.156,0,0.014809323,2
45,Manipur,2010,1,2,Hydro,2.1,1,21,0,0.000518145,7
45,Manipur,2010,1,4,Oil,82.045,9,724.357,0,0.020243449,7
45,Manipur,2010,1,3,Natural gas,838.042,10,7398.912,0,0.206775073,7
372,Mizoram,2010,1,2,Hydro,2.206,1,27,0,0.001946303,1
372,Mizoram,2010,1,4,Oil,3.612,9,37.01,0,0.003186784,1
372,Mizoram,2010,1,3,Natural gas,26.694,10,273.512,0,0.0235515,1
358,Maharashtra,2010,1,4,Oil,52.924,9,458.405,0,0.006375198,9
33,Haryana,2010,1,4,Oil,757.658,9,5208.625,0,0.013575488,1
30,Gujarat,2010,1,2,Hydro,816.693,1,7456.001,0,0.163681578,8
30,Gujarat,2010,1,4,Oil,442.842,9,5574.538,0,0.088754376,8
30,Gujarat,2010,1,3,Natural gas,686.879,10,8999.461,0,0.137664262,8
36,Tamil Nadu,2010,1,2,Hydro,9.583,1,184,0,0.00285035,9
36,Tamil Nadu,2010,1,1,Coal,528.51,8,5808.546,0,0.15719906,9
36,Tamil Nadu,2010,1,4,Oil,37.352,9,448.224,0,0.011109911,9
353,Arunachal Pradesh,2010,1,2,Hydro,134.754,1,768.031,0,0.050979882,1
353,Arunachal Pradesh,2010,1,1,Coal,590.749,8,5524.429,0,0.223491059,1
353,Arunachal Pradesh,2010,1,4,Oil,146.873,9,581.178,0,0.055564719,1
82,Karnataka,2010,1,2,Hydro,395.799,1,6406.001,0,0.008891606,8
371,Jharkhand,2010,1,2,Hydro,240.207,1,3487.998,0,0.292036414,12
371,Jharkhand,2010,1,1,Coal,0.279,8,1.656,0,0.000415697,12
371,Jharkhand,2010,1,4,Oil,0.279,9,1.656,0,0.000415697,12
371,Jharkhand,2010,1,3,Natural gas,417.04,10,2474.038,0,0.292036414,12
370,Dadra and Nagar Haveli and Daman and Diu,2010,1,2,Hydro,120.466,1,1274.999,0,0.146260147,10
370,Dadra and Nagar Haveli and Daman and Diu,2010,1,4,Oil,108.025,9,586.526,0,0.131155283,10
370,Dadra and Nagar Haveli and Daman and Diu,2010,1,3,Natural gas,531.942,10,2888.214,0,0.292036414,10
352,Ladakh,2010,1,2,Hydro,121.16,1,1457.23,0,0.292036414,12
352,Ladakh,2010,1,4,Oil,0.046,9,0.528,0,0.00011797,12
352,Ladakh,2010,1,3,Natural gas,253.764,10,2897.188,0,0.292036414,12
31,Lakshadweep,2010,1,2,Hydro,11,1,105,0,0.000966215,1
31,Lakshadweep,2010,1,4,Oil,114.204,9,1205.278,0,0.010031415,1
64,Assam,2010,1,1,Coal,180.99,8,1928.88,0,0.053314442,8
64,Assam,2010,1,4,Oil,0.027,9,2.042,0,7.95E-06,8
64,Assam,2010,1,3,Natural gas,570.375,10,9256.436,0,0.168016048,8
47,Delhi,2010,1,1,Coal,10.893,8,134.777,0,0.000739698,12
47,Delhi,2010,1,4,Oil,2.501,9,30.949,0,0.000169832,12
47,Delhi,2010,1,3,Natural gas,392.551,10,4857.005,0,0.026656484,12
48,Goa,2010,1,2,Hydro,265.999,1,3460,0,0.019729838,1
48,Goa,2010,1,4,Oil,248.867,9,2623.165,0,0.018459113,1
48,Goa,2010,1,3,Natural gas,469.753,10,4351.986,0,0.034842803,1
351,Andhra pradesh,2010,1,1,Coal,425.409,8,6845.719,0,0.080797297,12
351,Andhra pradesh,2010,1,4,Oil,180.23,9,2900.272,0,0.034230815,12
351,Andhra pradesh,2010,1,3,Natural gas,892.76,10,12267.4927,0,0.169560576,12
90,Puducherry,2010,1,4,Oil,169.861,9,2072.51,0,0.010092276,6
421,Madhya Pradesh,2010,1,2,Hydro,368.529,1,5578.003,0,0.157073037,9
421,Madhya Pradesh,2010,1,1,Coal,404.204,8,3775.023,0,0.1722783,9
421,Madhya Pradesh,2010,1,4,Oil,59.442,9,555.15,0,0.025335144,9
421,Madhya Pradesh,2010,1,3,Natural gas,218.547,10,2041.104,0,0.093148276,9
386,Rajasthan,2010,1,2,Hydro,313.005,1,4635.999,0,0.228943396,4
386,Rajasthan,2010,1,1,Coal,478.384,8,4689.211,0,0.292036414,4
386,Rajasthan,2010,1,4,Oil,0.724,9,7.094,0,0.00052956,4
386,Rajasthan,2010,1,3,Natural gas,49.575,10,485.947,0,0.036260983,4
46,Jammu and Kashmir,2010,1,1,Coal,322.39,8,2550.691,0,0.02187392,12
46,Jammu and Kashmir,2010,1,4,Oil,213.802,9,1691.563,0,0.014506306,12
46,Jammu and Kashmir,2010,1,3,Natural gas,346.735,10,2743.304,0,0.02352571,12
44,Punjab,2010,1,2,Hydro,625.512,1,6705.002,0,0.016676028,12
44,Punjab,2010,1,4,Oil,725.352,9,4640.144,0,0.019337743,12
61,Bihar,2010,2,2,Hydro,944.2725825,1,12267.4927,0,0.05138692,6
61,Bihar,2010,2,4,Oil,401.521,9,2447.778,0,0.020980682,6
43,Uttar Pradesh,2010,2,1,Coal,665.66,8,6371.891,0,0.125582081,3
43,Uttar Pradesh,2010,2,4,Oil,183.911,9,1210.748,0,0.03469628,3
32,Telangana,2010,2,2,Hydro,149.246,1,1645.999,0,0.019301681,11
32,Telangana,2010,2,1,Coal,551.472,8,5761.981,0,0.071320749,11
32,Telangana,2010,2,4,Oil,29.616,9,392.841,0,0.003830177,11
1,Himachal pradesh,2010,2,4,Oil,670.294,9,7792.508,0,0.012580088,7
56,Nagaland,2010,2,4,Oil,884.171,9,8022.08,0,0.201133043,7
56,Nagaland,2010,2,3,Natural gas,384.781,10,10124.676,0,0.087530775,7
420,Odisha,2010,2,2,Hydro,222.3,1,3366,0,0.032111702,2
420,Odisha,2010,2,4,Oil,20.367,9,176.959,0,0.002942056,2
420,Odisha,2010,2,3,Natural gas,107.637,10,1211.156,0,0.015548391,2
45,Manipur,2010,2,2,Hydro,1.05,1,21,0,0.000277716,7
45,Manipur,2010,2,4,Oil,81.394,9,724.357,0,0.021528037,7
45,Manipur,2010,2,3,Natural gas,831.393,10,7398.912,0,0.219896547,7
372,Mizoram,2010,2,2,Hydro,1.261,1,27,0,0.001211384,1
372,Mizoram,2010,2,1,Coal,932.995,8,10449.489,0,0.292036414,1
372,Mizoram,2010,2,4,Oil,3.304,9,37.01,0,0.003173999,1
372,Mizoram,2010,2,3,Natural gas,24.421,10,273.512,0,0.02346012,1
358,Maharashtra,2010,2,2,Hydro,944.2725825,1,12267.4927,0,0.1257358,9
358,Maharashtra,2010,2,4,Oil,50.482,9,458.405,0,0.006714205,9
33,Haryana,2010,2,4,Oil,589.881,9,5208.625,0,0.011850588,1
49,Sikkim,2010,2,4,Oil,843.429,9,8109.18,0,0.01639304,11
30,Gujarat,2010,2,2,Hydro,941.434,1,7456.001,0,0.225527259,8
30,Gujarat,2010,2,4,Oil,378.009,9,5574.538,0,0.090554764,8
30,Gujarat,2010,2,3,Natural gas,630.26,10,8999.461,0,0.150983298,8
36,Tamil Nadu,2010,2,2,Hydro,17.25,1,184,0,0.005609977,9
36,Tamil Nadu,2010,2,1,Coal,493.895,8,5808.546,0,0.160622581,9
36,Tamil Nadu,2010,2,4,Oil,37.352,9,448.224,0,0.01214747,9
353,Arunachal Pradesh,2010,2,2,Hydro,91.526,1,768.031,0,0.03915787,1
353,Arunachal Pradesh,2010,2,1,Coal,593.278,8,5524.429,0,0.253824081,1
353,Arunachal Pradesh,2010,2,4,Oil,55.954,9,581.178,0,0.023938984,1
82,Karnataka,2010,2,2,Hydro,373.04,1,6406.001,0,0.009868793,8
371,Jharkhand,2010,2,2,Hydro,119.102,1,3487.998,0,0.242423626,12
371,Jharkhand,2010,2,1,Coal,0.241,8,1.656,0,0.000490538,12
371,Jharkhand,2010,2,4,Oil,0.241,9,1.656,0,0.000490538,12
371,Jharkhand,2010,2,3,Natural gas,360.637,10,2474.038,0,0.292036414,12
370,Dadra and Nagar Haveli and Daman and Diu,2010,2,2,Hydro,103.759,1,1274.999,0,0.144521408,10
370,Dadra and Nagar Haveli and Daman and Diu,2010,2,4,Oil,93.559,9,586.526,0,0.13031427,10
370,Dadra and Nagar Haveli and Daman and Diu,2010,2,3,Natural gas,460.708,10,2888.214,0,0.292036414,10
352,Ladakh,2010,2,2,Hydro,108.78,1,1457.23,0,0.292036414,12
352,Ladakh,2010,2,4,Oil,0.044,9,0.528,0,0.000119627,12
352,Ladakh,2010,2,3,Natural gas,240.896,10,2897.188,0,0.292036414,12
31,Lakshadweep,2010,2,2,Hydro,9,1,105,0,0.00088737,1
31,Lakshadweep,2010,2,4,Oil,101.934,9,1205.278,0,0.010050356,1
64,Assam,2010,2,1,Coal,189.655,8,1928.88,0,0.05923681,8
64,Assam,2010,2,4,Oil,0.805,9,2.042,0,0.000251434,8
64,Assam,2010,2,3,Natural gas,648.89,10,9256.436,0,0.202674191,8
47,Delhi,2010,2,1,Coal,11.721,8,134.777,0,0.000933369,12
47,Delhi,2010,2,4,Oil,2.691,9,30.949,0,0.00021429,12
47,Delhi,2010,2,3,Natural gas,422.389,10,4857.005,0,0.033635779,12
48,Goa,2010,2,2,Hydro,194.732,1,3460,0,0.016163712,1
48,Goa,2010,2,4,Oil,222.808,9,2623.165,0,0.018494158,1
48,Goa,2010,2,3,Natural gas,390.418,10,4351.986,0,0.032406611,1
351,Andhra pradesh,2010,2,1,Coal,377.921,8,6845.719,0,0.086226912,12
351,Andhra pradesh,2010,2,4,Oil,160.111,9,2900.272,0,0.036531119,12
351,Andhra pradesh,2010,2,3,Natural gas,793.103,10,12267.4927,0,0.180955338,12
90,Puducherry,2010,2,4,Oil,142.795,9,2072.51,0,0.00932801,6
421,Madhya Pradesh,2010,2,2,Hydro,313.45,1,5578.003,0,0.151894526,9
421,Madhya Pradesh,2010,2,1,Coal,346.379,8,3775.023,0,0.167851568,9
421,Madhya Pradesh,2010,2,4,Oil,50.938,9,555.15,0,0.024684011,9
421,Madhya Pradesh,2010,2,3,Natural gas,187.283,10,2041.104,0,0.090755344,9
386,Rajasthan,2010,2,2,Hydro,244.6,1,4635.999,0,0.20915207,4
386,Rajasthan,2010,2,1,Coal,397.777,8,4689.211,0,0.292036414,4
386,Rajasthan,2010,2,4,Oil,0.602,9,7.094,0,0.000514757,4
386,Rajasthan,2010,2,3,Natural gas,41.222,10,485.947,0,0.035248024,4
46,Jammu and Kashmir,2010,2,1,Coal,295.394,8,2550.691,0,0.023244192,12
46,Jammu and Kashmir,2010,2,4,Oil,195.899,9,1691.563,0,0.015415052,12
46,Jammu and Kashmir,2010,2,3,Natural gas,317.701,10,2743.304,0,0.024999502,12
44,Punjab,2010,2,2,Hydro,489.54,1,6705.002,0,0.014874427,12
44,Punjab,2010,2,4,Oil,519.33,9,4640.144,0,0.015779581,12
61,Bihar,2010,3,2,Hydro,852.869,1,12267.4927,0,0.043795954,6
61,Bihar,2010,3,4,Oil,87.778,9,2447.778,0,0.004507517,6
43,Uttar Pradesh,2010,3,1,Coal,532.328,8,6371.891,0,0.095639015,3
43,Uttar Pradesh,2010,3,4,Oil,116.477,9,1210.748,0,0.020926469,3
32,Telangana,2010,3,2,Hydro,156.291,1,1645.999,0,0.019159439,11
32,Telangana,2010,3,1,Coal,495.123,8,5761.981,0,0.06069626,11
32,Telangana,2010,3,4,Oil,29.853,9,392.841,0,0.003659627,11
1,Himachal pradesh,2010,3,4,Oil,664.287,9,7792.508,0,0.012610704,7
56,Nagaland,2010,3,4,Oil,507.07,9,8022.08,0,0.11340461,7
56,Nagaland,2010,3,3,Natural gas,944.2725825,10,10124.676,0,0.211616888,7
420,Odisha,2010,3,2,Hydro,312.1,1,3366,0,0.042460419,2
420,Odisha,2010,3,4,Oil,12.102,9,176.959,0,0.001646447,2
420,Odisha,2010,3,3,Natural gas,117.564,10,1211.156,0,0.015994286,2
45,Manipur,2010,3,2,Hydro,3.15,1,21,0,0.0008242,7
45,Manipur,2010,3,4,Oil,78.389,9,724.357,0,0.020510538,7
45,Manipur,2010,3,3,Natural gas,800.705,10,7398.912,0,0.209505038,7
372,Mizoram,2010,3,2,Hydro,1.996,1,27,0,0.001833421,1
372,Mizoram,2010,3,1,Coal,944.2725825,8,10449.489,0,0.292036414,1
372,Mizoram,2010,3,4,Oil,3.43,9,37.01,0,0.003150619,1
372,Mizoram,2010,3,3,Natural gas,25.346,10,273.512,0,0.023281512,1
358,Maharashtra,2010,3,2,Hydro,893.458,1,12267.4927,0,0.117715105,9
358,Maharashtra,2010,3,4,Oil,47.225,9,458.405,0,0.006222,9
33,Haryana,2010,3,4,Oil,635.326,9,5208.625,0,0.012557437,1
49,Sikkim,2010,3,4,Oil,670.619,9,8109.18,0,0.012415759,11
30,Gujarat,2010,3,4,Oil,362.625,9,5574.538,0,0.085130434,8
30,Gujarat,2010,3,3,Natural gas,648.14,10,8999.461,0,0.152158398,8
36,Tamil Nadu,2010,3,2,Hydro,13.417,1,184,0,0.004289358,9
36,Tamil Nadu,2010,3,1,Coal,478.698,8,5808.546,0,0.153037717,9
36,Tamil Nadu,2010,3,4,Oil,37.352,9,448.224,0,0.011941276,9
353,Arunachal Pradesh,2010,3,2,Hydro,61.76,1,768.031,0,0.025055021,1
353,Arunachal Pradesh,2010,3,1,Coal,476.705,8,5524.429,0,0.193391414,1
353,Arunachal Pradesh,2010,3,4,Oil,30.062,9,581.178,0,0.012195661,1
82,Karnataka,2010,3,2,Hydro,444.284,1,6406.001,0,0.010791998,8
371,Jharkhand,2010,3,2,Hydro,335.288,1,3487.998,0,0.292036414,12
371,Jharkhand,2010,3,1,Coal,0.201,8,1.656,0,0.000309531,12
371,Jharkhand,2010,3,4,Oil,0.201,9,1.656,0,0.000309531,12
371,Jharkhand,2010,3,3,Natural gas,300.816,10,2474.038,0,0.292036414,12
